trans_period,DevelopmentRegion,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2016-11-08,Mainland/Southwest,1019,1001,10,,3,3,229,319,7,430,13,3,4,6,5,,,702892954,689787,487900,15359378.18,6600,49,38267777,780975,480000,4190198
2016-11-15,Mainland/Southwest,1201,1159,13,10,8,10,403,605,16,94,30,7,15,8,7,1,4,1061439446,883796.4,562900,24833579.22,9000,45,44229445,982876.6,795000,4869825
2016-11-22,Mainland/Southwest,2845,2783,47,7,11,21,878,1222,19,578,52,24,17,11,7,2,1,2440805877,857928.3,526000,57627118.67,8400,119,133001253,1117657.6,549500,11654320
2016-11-01,Nechako & North Coast,39,38,9,,,,28,1,,,,,,,,1,,6201799,159020.5,140000,68672.54,1000,,,,,
2016-11-08,Nechako & North Coast,35,34,10,1,,,21,,,2,,,,,1,,,5995500,171300,143000,71726.82,1430,,,,,
2016-11-15,Nechako & North Coast,24,21,2,1,,,15,3,,,2,1,,1,,1,,4941360,205890,125500,70048.85,1255,,,,,
2016-11-22,Nechako & North Coast,56,54,11,,,,38,3,,2,1,1,,,,,1,10955470,195633.4,182000,140744.7,1820,,,,,
2016-11-01,Northeast,32,28,4,,1,,19,2,,2,1,1,,,,3,,10184080,318252.5,289900,138329.85,2357.5,,,,,
2016-11-08,Northeast,27,22,3,,,,15,4,,,1,,,1,,4,,7166316,265419.1,225000,105737.7,2500,,,,,
2016-11-15,Northeast,34,20,2,,,,18,,,,6,6,,,,8,,15060532,442956.8,239950,274378.01,2380.25,,,,,
2016-11-22,Northeast,41,38,6,,,,24,3,,5,2,2,,,,1,,11204213,273273.5,229900,161663.27,2598,,,,,
2016-11-01,Thompson/Okanagan,375,352,27,3,6,1,199,80,3,33,11,6,2,3,9,1,2,170245407,453987.8,350000,2702211.44,4600,,,,,
2016-11-08,Thompson/Okanagan,268,249,22,1,7,2,125,66,3,23,4,2,1,1,7,8,,105439096,393429.5,337000,1547624.7,4340,,,,,
2016-11-15,Thompson/Okanagan,443,420,19,3,5,3,235,91,5,59,11,7,4,,7,4,1,181547415,409813.6,329000,2796569.02,4400,,,,,
2016-11-22,Thompson/Okanagan,671,619,57,4,8,3,341,159,2,45,27,11,9,7,10,13,2,285018409,424766.6,350000,4249728.32,4640,,,,,
2016-11-01,Unknown/Rural,79,64,15,3,3,,36,4,1,2,1,1,,,8,3,3,27829152,352267.8,300000,425729.09,3880,,,,,
2016-11-08,Unknown/Rural,59,51,10,,2,,32,3,1,3,2,2,,,4,2,,20217851,342675.4,270000,336935.51,3400,,,,,
2016-11-15,Unknown/Rural,80,70,21,1,2,,39,5,,2,2,2,,,5,2,1,27060585,338257.3,265000,419143.86,3000,,,,,
2016-11-22,Unknown/Rural,195,139,30,,2,,70,13,,24,29,,24,5,8,3,16,63640742,326362.8,250000,986577.23,2920,,,,,
2016-11-01,Vancouver Island/Coast,458,432,30,5,1,9,241,98,5,43,24,5,7,12,1,,1,210833830,460335.9,377000,3298772.99,5076.96,14,9599250,685660.7,359525.2,
2016-11-08,Vancouver Island/Coast,249,240,16,1,2,1,146,46,4,24,7,7,,,,1,1,117157059,470510.3,359900,1850627.72,5000,12,8265262,688771.8,662500,
2016-11-15,Vancouver Island/Coast,433,419,24,6,,3,259,107,5,15,6,3,3,,5,,3,201573822,465528.5,382500,3020261.2,4700,16,12431441,776965,792380.9,
2016-11-22,Vancouver Island/Coast,831,813,39,9,3,14,482,190,9,67,14,9,3,2,2,1,1,431012653,518667.5,400000,6953351.77,5520,23,17074688,742377.7,830000,
2016-11-01,Rest of province,,,,,,,,,,,,,,,,,,,,,,,10,2010540,201054,110050,
2016-11-08,Rest of province,,,,,,,,,,,,,,,,,,,,,,,15,5383264,358884.3,289627.5,
2016-11-15,Rest of province,,,,,,,,,,,,,,,,,,,,,,,20,6200414,310020.7,222000,
2016-11-22,Rest of province,,,,,,,,,,,,,,,,,,,,,,,28,9658444,344944.4,219500,
2016-12-01,Cariboo,60,58,13,,,,35,10,,,1,1,,,,1,,13605669,226761.1,209500,160796.84,1824.5,,,,,
2016-12-08,Cariboo,62,59,14,1,2,,41,,,1,2,2,,,,1,,13728542,221428.1,204000,183563.71,2090,,,,,
2016-12-15,Cariboo,99,93,30,,,,52,7,,4,5,4,,1,1,,,22663459,228923.8,190000,265405.41,1750,,,,,
2016-12-22,Cariboo,32,28,4,1,,1,21,,,1,4,2,,2,,,,8245911,257684.7,187850,115903.72,1882,,,,,
2016-12-01,Kootenay,79,74,9,,,,55,10,,,1,1,,,3,1,,18800572,237981.9,219000,248659.78,2342.86,,,,,
2016-12-08,Kootenay,55,53,11,1,,1,35,5,,,2,1,,1,,,,14011469,254754,225000,196145.19,2500,,,,,
2016-12-15,Kootenay,121,113,16,4,,2,75,14,1,1,5,3,,2,3,,,30199138,249579.7,218400,446727.29,2368,,,,,
2016-12-22,Kootenay,57,52,3,4,1,1,28,10,,5,2,2,,,1,1,1,16489627,289291.7,231000,222837.04,2350,,,,,
2016-12-01,Mainland/Southwest,1118,1068,17,6,6,14,384,599,16,26,46,20,24,2,2,1,1,898628346,803782.1,500000,18898659.87,7673.99,25,23664290,946571.6,757000,2320812
2016-12-08,Mainland/Southwest,1129,1095,14,1,6,14,328,622,53,57,27,13,7,7,2,4,1,874680891,774739.5,479900,18144289.29,7000,41,33817800,824824.4,530000,2518509
2016-12-15,Mainland/Southwest,2147,2067,26,6,7,11,523,716,29,749,61,27,25,9,5,5,9,2128852566,991547.5,439000,51931640.01,5598,101,107118311,1060577.3,470000,7198267
2016-12-22,Mainland/Southwest,863,827,8,8,9,5,215,347,20,215,22,8,12,2,8,3,3,647326300,750088.4,495327.1,15140215.65,6980,56,55528855,991586.7,689000,3605003
2016-12-01,Nechako & North Coast,31,28,4,1,,,20,3,,,2,2,,,,1,,5274271,170137.8,123000,63401.57,1150,,,,,
2016-12-08,Nechako & North Coast,23,18,3,,,,13,1,,1,2,2,,,1,1,1,4848231,210792.7,200000,57216.12,1900,,,,,
2016-12-15,Nechako & North Coast,48,37,6,4,,,22,4,1,,2,2,,,2,2,5,6496888,135351.8,126000,70294.71,1210,,,,,
2016-12-22,Nechako & North Coast,13,12,2,,,1,8,1,,,1,1,,,,,,2388445,183726.6,158095.2,29176.45,1580.95,,,,,
2016-12-01,Northeast,42,26,5,,1,,17,3,,,6,6,,,,10,,9167412,218271.7,130000,116923.83,1300,,,,,
2016-12-08,Northeast,32,16,5,,,,11,,,,12,12,,,,4,,8847679,276490,166687.5,135905.54,1666.875,,,,,
2016-12-15,Northeast,39,20,6,,,,13,,1,,1,1,,,,18,,9778709,250736.1,200000,125877.06,2000,,,,,
2016-12-22,Northeast,5,5,,,,,5,,,,,,,,,,,1173000,234600,215000,16070,2300,,,,,
2016-12-01,Thompson/Okanagan,325,302,16,7,7,2,181,81,5,3,12,7,,5,9,1,1,146769116,451597.3,369900,2332026.9,4800,,,,,
2016-12-08,Thompson/Okanagan,356,336,25,1,2,1,176,123,3,5,10,5,1,4,4,6,,142585806,400521.9,342000,2060659.4,4490,,,,,
2016-12-15,Thompson/Okanagan,403,388,30,6,6,2,243,79,6,16,8,4,1,3,2,2,3,175941132,436578.5,336000,2684234.89,3833.33,,,,,
2016-12-22,Thompson/Okanagan,228,218,13,1,5,,125,55,,19,9,6,2,1,,1,,107465203,471338.6,344950,1731887.56,4140,,,,,
2016-12-01,Unknown/Rural,100,90,17,4,2,,62,4,,1,3,2,,1,5,2,,28089102,280891,213250,417209.48,1590,,,,,
2016-12-08,Unknown/Rural,77,64,18,1,2,,35,,,8,2,2,,,7,3,1,25038834,325179.7,215000,395270.66,2300,,,,,
2016-12-15,Unknown/Rural,106,92,24,1,1,,47,6,,13,2,,,2,5,7,,35081844,330960.8,263500,531055.82,3100,,,,,
2016-12-22,Unknown/Rural,61,46,10,2,,,18,3,,13,8,1,,7,3,2,2,19963115,327264.2,260000,305387.76,3200,,,,,
2016-12-01,Vancouver Island/Coast,433,417,22,6,,3,246,123,12,5,13,5,3,5,1,2,,253472170,585386.1,384000,4611024.51,5200,18,11318900,628827.8,631500,
2016-12-08,Vancouver Island/Coast,342,324,15,4,,,148,104,7,46,15,8,2,5,3,,,133489716,390320.8,310000,1976541.99,3420,9,4089357,454373,355000,
2016-12-15,Vancouver Island/Coast,557,519,25,4,2,5,304,113,5,61,34,11,19,4,2,,2,256669513,460807,397000,3878582.1,5220,21,12261303,583871.6,569500,
2016-12-22,Vancouver Island/Coast,293,272,13,1,1,4,157,75,10,11,13,6,3,4,3,1,4,154092441,525912.8,349000,2666673.74,4600,18,10839871,602215.1,419500,
2016-12-01,Rest of province,,,,,,,,,,,,,,,,,,,,,,,10,3829910,382991,372500,
2016-12-08,Rest of province,,,,,,,,,,,,,,,,,,,,,,,25,9799660,391986.4,358000,
2016-12-15,Rest of province,,,,,,,,,,,,,,,,,,,,,,,43,13161756,306087.3,210000,
2016-12-22,Rest of province,,,,,,,,,,,,,,,,,,,,,,,19,5607120,295111.6,149000,
