trans_period,DevelopmentRegion,RegionalDistrict,Municipality,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2016-07-01,Mainland/Southwest,METRO VANCOUVER,Burnaby,716,699,,8,,1,182,394,,114,16,5,4,7,,,1,624087653,871630.8,552999.5,11265280.6,9000,208,172697208,830275,517750,
2016-08-01,Mainland/Southwest,METRO VANCOUVER,Burnaby,504,492,,3,,1,154,322,1,11,12,5,3,4,,,,443603753,880166.2,582555,8287286.3,9950,6,5278000,879666.7,482000,168546
2016-09-01,Mainland/Southwest,METRO VANCOUVER,Burnaby,421,400,,1,,3,100,247,6,43,21,11,2,8,,,,433814236,1030437.6,565000,10375167.8,9240,23,45252906,1967517.7,600000,1805205
2016-10-01,Mainland/Southwest,METRO VANCOUVER,Burnaby,322,307,,1,,5,51,150,2,98,13,3,4,6,,,2,306597146,952165.1,574000,7223073.8,9000,18,11227000,623722.2,593750,1413780
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-07-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,3497,3451,59,4,23,17,1798,1320,10,220,31,14,10,7,1,3,11,3408608149,974723.5,725000,64528657.8,12298,376,506267173,1346455.2,972500,
2016-08-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,2915,2873,58,9,20,9,1309,1095,17,356,34,8,15,11,1,3,4,2668529802,915447.6,678000,50039152.4,11200,19,19287060,1015108.4,960000,365995.9
2016-09-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,2377,2300,51,4,13,12,838,935,13,434,62,37,19,6,6,6,3,2072646158,871958.8,554482.8,41014046,8810,46,111797566,2430381.9,1563403,2059109.4
2016-10-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,1761,1698,19,3,7,6,565,588,5,505,50,8,10,32,2,2,9,1406568715,798732.9,535000,28237711.7,8407,36,32391048,899751.3,490350,3160324.1
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Richmond,741,703,1,1,2,6,251,394,5,43,37,10,27,,,1,,1042011534,1406223.4,680000,22737338.9,11300,115,131296426,1141708.1,689900,
2016-07-01,Mainland/Southwest,METRO VANCOUVER,Richmond,802,781,2,2,,13,272,458,,34,20,6,11,3,,,1,830730883,1035824,720000,15781118.2,12320,216,239426797,1108457.4,740750,
2016-08-01,Mainland/Southwest,METRO VANCOUVER,Richmond,565,537,,1,1,7,166,321,7,34,28,3,23,2,,,,516382941,913952.1,570000,10173502.3,9760,12,9240000,770000,474900,598035.1
2016-09-01,Mainland/Southwest,METRO VANCOUVER,Richmond,538,506,1,1,2,10,117,286,11,78,29,12,13,4,,2,1,569414199,1058390.7,593500,12482906.8,9715,30,27697871,923262.4,470450,1309864.1
2016-10-01,Mainland/Southwest,METRO VANCOUVER,Richmond,818,801,1,1,,5,83,192,4,515,17,1,10,6,,,,566872020,692997.6,452985.8,14192183.2,6024,54,38400433,711119.1,501400,5141953.8
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Surrey,1973,1931,17,3,3,4,996,729,3,176,35,4,17,14,,4,3,1555417306,788351.4,650000,27578518.7,10740,162,144932878,894647.4,799900,
2016-07-01,Mainland/Southwest,METRO VANCOUVER,Surrey,1936,1908,10,4,2,7,944,680,20,241,25,2,20,3,,,3,1504685059,777213.4,610000,26153043.2,9500,177,187509522,1059375.8,935000,
2016-08-01,Mainland/Southwest,METRO VANCOUVER,Surrey,1594,1569,10,5,5,3,730,626,16,174,17,3,6,8,,6,2,1225783098,768998.2,609000,21709169.4,9700,10,6669913,666991.3,472450,235425.2
2016-09-01,Mainland/Southwest,METRO VANCOUVER,Surrey,1291,1244,14,1,6,3,480,518,7,215,45,12,10,23,,2,,1037069258,803306.9,550000,19610387.4,8100,19,35028635,1843612.4,930000,896415.4
2016-10-01,Mainland/Southwest,METRO VANCOUVER,Surrey,972,953,4,3,2,,257,339,7,341,18,5,3,10,,,1,643488241,662024.9,462245,11621448.3,6900,9,5957661,661962.3,542900,432586.3
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Vancouver,2190,2119,,7,,51,539,907,10,605,67,32,23,12,,,4,3518429006,1606588.6,757450,78120383.7,13033.01,195,360588084,1849169.7,868000,
2016-07-01,Mainland/Southwest,METRO VANCOUVER,Vancouver,2089,2047,,1,,36,460,912,12,626,39,11,19,9,1,,2,2872267410,1374948.5,709900,61359827,11980,364,654263617,1797427.5,785200,
2016-08-01,Mainland/Southwest,METRO VANCOUVER,Vancouver,1516,1477,,5,,37,346,745,11,333,36,14,20,2,2,,1,2017339486,1330698.9,689500,43484078.4,11830,15,24135004,1609000.3,619000,974542.9
2016-09-01,Mainland/Southwest,METRO VANCOUVER,Vancouver,1241,1194,,4,,22,272,577,8,311,47,32,10,5,,,,1898619410,1529910.9,724900,44386319.5,12760,37,140337540,3792906.5,1630000,2836086.5
2016-10-01,Mainland/Southwest,METRO VANCOUVER,Vancouver,966,935,,2,,19,115,391,5,403,26,4,11,11,1,,4,1043145985,1079861.3,635000,23673569.8,10580,26,28900000,1111538.5,693950,3178222.4
2016-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,184,176,12,3,1,,86,67,3,4,5,2,3,,2,,1,111523315,606105,454500,1996278.9,7090,,,,,
2016-07-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,166,161,11,7,,2,69,50,3,19,2,1,,1,1,2,,89358386,538303.5,424900,1442934.5,6414,,,,,
2016-08-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,173,161,10,2,1,,68,52,2,26,3,,2,1,2,6,1,97232811,562039.4,459000,1628961.5,6998,,,,,
2016-09-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,129,122,13,,4,,44,40,5,16,6,3,1,2,,,1,71132506,551414.8,419900,1171072.9,6200,,,,,
2016-10-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,108,102,15,3,1,,32,22,,29,6,1,1,4,,,,50082759,463729.2,404450,770610.7,5450,,,,,
2016-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,147,118,1,,,,30,53,34,,1,,1,,28,,,118246657,804399,535000,2300697.6,8700,,,,,
2016-07-01,Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,119,79,1,,,,19,43,16,,29,,29,,11,,,69130097,580925.2,401000,1189494.8,6020,,,,,
2016-08-01,Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,100,94,1,,,1,24,49,13,6,3,,3,,3,,,99309483,993094.8,723000,1935679.5,11395,,,,,
2016-09-01,Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,141,129,,,,,23,69,33,4,1,,1,,10,,1,89361369,633768.6,436900,1612208.7,6738,,,,,
2016-10-01,Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,128,115,1,2,,,23,46,26,17,,,,,13,,,87122049,680641,475000,1571365.4,7500,,,,,
2016-06-01,Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,780,762,20,2,1,4,453,244,,38,10,8,,2,4,3,1,424064560,543672.5,440000,6893001.7,6575,,,,,
2016-07-01,Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,694,688,19,2,2,4,377,214,3,67,5,2,2,1,1,,,357857766,515645.2,420000,5802240.6,6144,,,,,
2016-08-01,Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,775,760,10,7,1,,421,255,4,62,11,4,4,3,1,1,2,402174154,518934.4,440000,6414156.2,6600,,,,,
2016-09-01,Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,661,639,13,4,4,,282,213,5,118,18,8,8,2,4,,,341304316,516345.4,425000,5492670.7,6200,,,,,
2016-10-01,Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,519,503,14,,7,,198,136,2,146,11,5,,6,3,2,,291949866,562523.8,441900,4935211.8,6680,,,,,
2016-06-01,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,297,285,10,3,6,1,211,47,,7,5,3,,2,2,4,1,155064063,522101.2,455000,2477212.9,6770,,,,,
2016-07-01,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,289,287,8,1,1,,205,48,,24,,,,,1,1,,147464295,510257.1,472900,2242431.3,6600,,,,,
2016-08-01,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,273,271,7,,,,175,60,,29,2,2,,,,,,135216627,495299,435000,2135958.9,6500,,,,,
2016-09-01,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,270,265,7,1,1,4,153,59,,40,2,,,2,1,2,,166553290,616864,439350,2913151.4,6600,,,,,
2016-10-01,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,197,194,8,,1,1,105,29,1,49,1,,1,,,2,,100706750,511201.8,465000,1539524,6798,,,,,
2016-06-01,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,405,397,20,1,3,,235,89,1,48,7,2,2,3,,1,,210194655,518999.1,455000,3132678.8,6600,,,,,
2016-07-01,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,404,397,14,1,3,,215,76,,88,5,1,1,3,,,2,216165118,535062.2,420000,3377844.8,5555,,,,,
2016-08-01,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,321,320,18,2,2,2,196,64,,36,1,,1,,,,,179947877,560585.3,475000,2770104.2,7100,,,,,
2016-09-01,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,278,269,13,2,,,162,41,3,48,4,2,1,1,1,2,2,167965105,604191,465750,2826684.2,6895,,,,,
2016-10-01,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,271,265,20,,,,96,32,1,116,5,2,,3,,,1,159982117,590339.9,475000,2343369.8,6300,,,,,
2016-06-01,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",1190,1170,12,4,1,16,567,420,94,56,18,9,2,7,,1,1,740487859,622258.7,500000,12607898.6,7798,,,,,
2016-07-01,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",904,894,12,4,1,16,481,336,3,41,8,2,5,1,,,2,591979498,654844.6,549000,10169247.9,8780,,,,,
2016-08-01,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",996,986,15,3,2,19,520,378,5,44,9,8,1,,,,1,627195144,629714,540000,10655834.7,8660,,,,,
2016-09-01,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",819,805,17,3,4,24,323,274,2,158,12,6,2,4,1,1,,556337474,679288.7,529000,9782226.1,8200,,,,,
2016-10-01,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",636,614,6,4,1,8,217,157,2,219,17,13,,4,1,,4,418826051,658531.5,550000,7068544.2,8326.335,,,,,
2016-06-01,Vancouver Island/Coast,NANAIMO,Nanaimo,571,564,13,1,1,3,321,112,75,38,5,3,,2,,,2,199878719,350050.3,320000,2813324.3,4060,,,,,
2016-07-01,Vancouver Island/Coast,NANAIMO,Nanaimo,380,374,8,2,,2,244,80,,38,4,4,,,2,,,149729183,394024.2,350000,2174542.4,4700,,,,,
2016-08-01,Vancouver Island/Coast,NANAIMO,Nanaimo,524,510,22,2,2,2,350,90,1,41,8,6,2,,2,1,3,239490858,457043.6,350000,3863054.2,4600,,,,,
2016-09-01,Vancouver Island/Coast,NANAIMO,Nanaimo,440,426,13,1,2,4,248,72,1,85,11,5,3,3,1,,2,161112604,366165,321050,2332753.9,4200,,,,,
2016-10-01,Vancouver Island/Coast,NANAIMO,Nanaimo,387,378,20,1,,1,169,55,,132,7,1,1,5,2,,,152168020,393199,358000,2165106.2,4700,,,,,
2016-06-01,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,347,309,38,4,,,223,30,5,9,20,3,16,1,14,,4,144675254,416931.6,380088,2157100.5,5300,,,,,
2016-07-01,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,303,283,31,1,1,,195,36,8,11,5,2,1,2,15,,,122265131,403515.3,370000,1853749.9,5280,,,,,
2016-08-01,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,234,230,20,2,,,156,39,4,9,2,1,,1,2,,,99288081,424308,392200,1462580.1,5490,,,,,
2016-09-01,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,195,181,15,2,,1,97,26,10,30,11,4,7,,3,,,81717492,419064.1,350000,1215593.5,4500,,,,,
2016-10-01,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,164,161,13,,,,80,14,3,51,1,,,1,2,,,67416931,411078.8,389500,933367.8,5145.7,,,,,
2016-11-01,Mainland/Southwest,FRASER VALLEY,Abbotsford,354,347,5,1,2,,146,147,7,39,5,,2,3,,2,,170521782,481700,403850,2647532,5288,,,,,
2016-11-01,Mainland/Southwest,FRASER VALLEY,Chilliwack,325,319,9,1,6,6,129,91,,77,5,5,,,,,1,152799651,470152.8,384900,2386483,4740,,,,,
2016-11-01,Mainland/Southwest,FRASER VALLEY,Rest of Fraser Valley,191,183,19,3,6,,102,23,1,29,2,2,,,6,,,85013584,445097.3,390000,1249609,5300,,,,,
2016-11-01,Mainland/Southwest,METRO VANCOUVER,Burnaby,404,393,,2,,3,81,164,1,142,11,5,5,1,,,,289408372,716357.4,455000,7810391,7050,35,21323000,609228.6,524900,2797632
2016-11-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,1813,1778,32,5,8,12,613,799,10,299,33,8,19,6,,1,1,1504026621,829578.9,568000,31512491,8660,40,43594942,1089873.6,498450,3428165
2016-11-01,Mainland/Southwest,METRO VANCOUVER,Richmond,772,754,,,,4,78,218,1,453,18,8,8,2,,,,490671053,635584.3,461735,12966784,5401,68,51295133,754340.2,471650,6081428
2016-11-01,Mainland/Southwest,METRO VANCOUVER,Surrey,1001,977,11,2,3,6,372,457,18,108,20,8,6,6,,1,3,731817299,731086.2,485000,14757121,7300,15,13345321,889688.1,795000,1630229
2016-11-01,Mainland/Southwest,METRO VANCOUVER,Vancouver,1130,1111,1,7,,13,214,576,4,296,17,4,8,5,1,,1,1543836175,1366226.7,787602.8,42260668,14373,51,82880247,1625102.9,1374900,10127168
2016-11-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,106,96,10,1,2,,38,28,1,16,10,2,6,2,,,,62119648,586034.4,447565,1027447,6951.3,,,,,
2016-11-01,Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,141,123,1,1,,,29,62,21,9,4,,2,2,14,,,128975084,914716.9,580000,2497770,9600,,,,,
2016-11-01,Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,506,484,18,2,3,2,210,172,5,72,14,5,3,6,5,2,1,256874282,507656.7,388750,4108989,5215.5,,,,,
2016-11-01,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,174,168,6,,2,1,94,35,,30,5,,4,1,,1,,88540444,508853.1,423950,1390932,5869,,,,,
2016-11-01,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,238,223,21,1,3,,125,49,,24,15,,2,13,,,,140932794,592154.6,466833.3,2286044,6880,,,,,
2016-11-01,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",641,625,13,5,,17,306,230,11,43,14,6,8,,,,2,401036300,625641.7,508500,6844314,7900,,,,,
2016-11-01,Vancouver Island/Coast,NANAIMO,Nanaimo,327,318,11,6,,1,208,55,,37,5,3,1,1,2,1,1,133626498,408643.7,359900.3,1956075,4960,,,,,
2016-11-01,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,134,129,14,,,2,76,23,3,11,3,2,1,,2,,,66395127,495486,399450,1033927,5270,,,,,
2016-12-01,Mainland/Southwest,FRASER VALLEY,Abbotsford,286,272,1,1,6,,103,143,17,1,8,4,3,1,,4,2,137638546,481253.7,285000,2160593.8,3060,,,,,
2016-12-01,Mainland/Southwest,FRASER VALLEY,Chilliwack,231,222,,3,7,1,110,79,,22,5,3,,2,,3,1,111780184,483896.9,394900,1693771.2,4600,,,,,
2016-12-01,Mainland/Southwest,FRASER VALLEY,Rest of Fraser Valley,130,123,13,1,2,,87,14,,6,3,3,,,2,1,1,56477267,434440.5,359468.6,816613.1,4619,,,,,
2016-12-01,Mainland/Southwest,METRO VANCOUVER,Burnaby,351,344,1,1,,1,66,218,2,55,7,5,2,,,,,260415278,741923.9,479900,6318086.4,7598,27,19043400,705311.1,510000,1752495
2016-12-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,1442,1401,28,5,7,6,513,721,10,111,37,12,18,7,1,,3,1152739423,799403.2,532800,21848770.6,7864,26,51601062,1984656.2,564275,1962531
2016-12-01,Mainland/Southwest,METRO VANCOUVER,Richmond,399,375,1,1,1,11,68,171,37,85,21,3,17,1,1,1,1,388791749,974415.4,530000,9878293.9,8100,32,45764973,1430155.4,585000,1915483
2016-12-01,Mainland/Southwest,METRO VANCOUVER,Surrey,1323,1290,8,3,5,7,253,360,19,635,30,4,19,7,,3,,685444740,518098.8,334900,13930100.8,3948,55,22718767,413068.5,260000,3143497
2016-12-01,Mainland/Southwest,METRO VANCOUVER,Vancouver,850,806,,5,,13,175,484,4,125,39,32,6,1,,,5,1629315065,1916841.3,733950,45434409.1,12698,37,54168376,1464010.2,828000,6868585
2016-12-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,73,71,6,,,1,25,34,1,4,1,,,1,,1,,35556950,487081.5,419000,517081.8,5100,,,,,
2016-12-01,Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,106,92,,1,,4,10,49,28,,2,,2,,12,,,62114347,585984.4,340500,1119298.1,4810,,,,,
2016-12-01,Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,411,399,7,2,1,3,181,177,1,27,7,6,,1,,5,,233701305,568616.3,379900,3984390.4,5118,,,,,
2016-12-01,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,118,118,4,1,3,,86,22,1,1,,,,,,,,60672511,514173.8,444950,892112.9,5900,,,,,
2016-12-01,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,165,144,12,3,,,94,26,1,8,19,,17,2,,1,1,93285202,565364.9,492000,1432180.7,7300,,,,,
2016-12-01,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",625,591,9,3,,5,244,238,6,86,32,16,6,10,,1,1,398935564,638296.9,434000,7236234.3,6247.96,,,,,
2016-12-01,Vancouver Island/Coast,NANAIMO,Nanaimo,215,207,6,2,,2,126,56,,15,6,4,1,1,2,,,81504108,379088.9,342500,1145537.9,4450.06,,,,,
2016-12-01,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,105,97,9,,1,1,57,15,8,6,4,1,3,,3,,1,39465972,375866.4,374000,531325.8,4770,,,,,
2017-01-01,Cariboo,CARIBOO,CITY OF QUESNEL,9,9,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,1058633.33,117625.9256,70000,12096.33,700,0,NA,NA,NA,NA
2017-01-01,Cariboo,CARIBOO,CITY OF WILLIAMS LAKE,15,12,0,0,0,0,7,0,0,5,1,1,0,0,2,0,0,2551600,170106.6667,178000,29946,1780,0,NA,NA,NA,NA
2017-01-01,Cariboo,CARIBOO,DISTRICT OF 100 MILE HOUSE,14,8,0,0,0,0,3,0,0,5,6,5,0,1,0,0,0,2968600,212042.8571,185800,36707,1858,NA,NA,NA,NA,NA
2017-01-01,Cariboo,CARIBOO,DISTRICT OF WELLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-01-01,Cariboo,CARIBOO,QUESNEL RURAL,18,17,9,1,1,0,6,0,0,0,0,0,0,0,0,1,0,3068765,170486.9444,126000,39511.12,1260,0,NA,NA,NA,NA
2017-01-01,Cariboo,CARIBOO,WILLIAMS LAKE RURAL,50,38,17,2,1,0,18,0,0,0,1,1,0,0,3,6,2,10165187.78,203303.7556,155750,133811.87,1557.5,NA,NA,NA,NA,NA
2017-01-01,Cariboo,FRASER-FORT GEORGE,CITY OF PRINCE GEORGE,81,77,4,0,0,3,58,3,0,9,3,3,0,0,0,0,1,23519217.04,290360.7042,231500,324606.39,2460,NA,NA,NA,NA,NA
2017-01-01,Cariboo,FRASER-FORT GEORGE,DISTRICT OF MACKENZIE,9,9,1,0,0,0,5,0,0,3,0,0,0,0,0,0,0,1928000,214222.2222,165000,25210,1650,0,NA,NA,NA,NA
2017-01-01,Cariboo,FRASER-FORT GEORGE,PRINCE GEORGE RURAL,28,21,18,0,0,0,3,0,0,0,0,0,0,0,0,6,1,6297650,224916.0714,132500,88450,1325,NA,NA,NA,NA,NA
2017-01-01,Cariboo,FRASER-FORT GEORGE,VILLAGE OF MCBRIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-01-01,Cariboo,FRASER-FORT GEORGE,VILLAGE OF VALEMOUNT,8,8,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1822000,227750,247000,24410,2940,0,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,CITY OF CASTLEGAR,6,6,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1144100,190683.3333,201500,13611,2065,0,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,CITY OF NELSON,18,17,0,0,0,0,9,2,0,6,1,1,0,0,0,0,0,8466185.5,470343.6389,381250,129200.86,5450,0,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,CRESTON RURAL,20,15,5,0,0,0,10,0,0,0,2,1,0,1,0,3,0,4278590,213929.5,166500,57185.9,1665,0,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,NAKUSP RURAL,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892710,223177.5,231355,NA,NA,0,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,NELSON RURAL,25,24,9,1,2,0,11,1,0,0,1,0,0,1,0,0,0,7743033.33,309721.3332,249000,118660.33,2980,NA,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,TOWN OF CRESTON,14,14,0,0,0,0,4,1,0,9,0,0,0,0,0,0,0,2921190,208656.4286,201000,35176.9,2020,0,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,VILLAGE OF KASLO,3,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,423000,141000,143000,NA,NA,NA,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,VILLAGE OF NAKUSP,3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,495200,165066.6667,197600,NA,NA,0,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,VILLAGE OF NEW DENVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,VILLAGE OF SALMO,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63300,63300,63300,NA,NA,0,NA,NA,NA,NA
2017-01-01,Kootenay,CENTRAL KOOTENAY,VILLAGE OF SILVERTON,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,520000,260000,260000,NA,NA,0,NA,NA,NA,NA
