year,month,DevelopmentRegion,RegionalDistrict,Municipality,tot_mkt_trans,no_res_trans,n_res_acreage_trans,n_res_fam,n_res_1fam_dwelling,n_res_strata,n_res_other,n_comm_tran,n_comm_comm,n_comm_strata_nores,n_comm_other,n_recr_tran,n_farm_tran,n_unkn_tran,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,n_foreign_tran,sum_FMV_foreign,add_tax_paid,n_res_1fam_suite,n_res_1fam_vacant_res,n_res_1fam_other,n_res_strata_row,n_res_strata_other,n_fth,n_nbh,sum_FMV_res,sum_FMV_foreign_res,md_FMV_foreign_res,mn_FMV_foreign_res,sum_invest_foreign_res,n_foreign_nonres,n_foreign_other,n_foreign_res
2016,1,NECHAKO & NORTH COAST,NORTH COAST,NA,23,17,0,0,16,0,0,6,5,0,0,0,0,0,5179700,225204.3,240000,70647.75,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,NORTHEAST,NORTHERN ROCKIES RM-PEACE RIVER,NA,117,102,24,0,37,7,31,7,6,0,1,0,7,1,34796083,297402.4,218000,505612.42,2360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,THOMPSON/OKANAGAN,CENTRAL OKANAGAN,NA,352,344,9,2,190,99,44,7,4,3,0,0,1,0,145921704,414550.3,386500,2246198.94,5730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,THOMPSON/OKANAGAN,COLUMBIA-SHUSWAP,NA,90,81,16,0,51,13,1,6,5,0,0,0,2,1,32722372,363581.9,290000,505935.8,3800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,THOMPSON/OKANAGAN,NORTH OKANAGAN,NA,107,92,4,1,66,20,1,12,7,3,2,0,3,0,53482150,499833.2,328000,868310.99,4560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,THOMPSON/OKANAGAN,OKANAGAN-SIMILKAMEEN,NA,165,151,16,5,92,31,7,4,3,1,0,0,10,0,63016801,381920,300000,956281.83,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,THOMPSON/OKANAGAN,THOMPSON-NICOLA,NA,180,154,15,1,118,20,0,15,11,4,0,0,8,3,66003256,366684.8,298500,1006382.96,3970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,UNKNOWN/RURAL,RURAL,NA,139,119,28,0,72,19,0,17,6,10,1,0,2,1,58416246,420260.8,345000,935526.03,4900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,UNKNOWN/RURAL,UNKNOWN,NA,35,34,0,0,2,0,32,0,0,0,0,0,0,1,13361061,381744.6,356900,204575.2,5138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,VANCOUVER ISLAND/COAST,ALBERNI-CLAYOQUOT,NA,42,40,1,1,30,8,0,2,0,2,0,0,0,0,10391551,247417.9,187500.4,144140.51,1875.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,VANCOUVER ISLAND/COAST,CAPITAL,NA,664,640,21,14,319,211,75,20,12,7,1,0,3,1,355370863,535197.1,418250,5814356.15,6365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,VANCOUVER ISLAND/COAST,COMOX VALLEY,NA,125,121,6,0,90,20,5,4,1,3,0,0,0,0,37456522,299652.2,282500,517761.5,3650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,VANCOUVER ISLAND/COAST,COWICHAN VALLEY,NA,128,118,16,1,80,21,0,6,5,1,0,0,2,2,47451342,370713.6,327500,713450.13,4550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,VANCOUVER ISLAND/COAST,MOUNT WADDINGTON,NA,13,13,1,0,12,0,0,0,0,0,0,0,0,0,2075400,159646.2,130000,24304,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,VANCOUVER ISLAND/COAST,NANAIMO,NA,275,258,13,4,184,54,3,14,7,5,2,0,1,2,100046022,363803.7,327519.4,1487027.31,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,VANCOUVER ISLAND/COAST,POWELL RIVER,NA,31,30,0,0,30,0,0,0,0,0,0,0,0,1,8077809,260574.5,232500,109980.09,2650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,VANCOUVER ISLAND/COAST,STRATHCONA,NA,79,76,4,0,62,10,0,3,2,1,0,0,0,0,21149148,267710.7,230000,287585.87,2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,CARIBOO,CARIBOO,NA,90,76,30,0,44,2,0,10,10,0,0,0,4,0,19231842,213687.1,156000,265118.15,1560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,CARIBOO,FRASER-FORT GEORGE,NA,136,112,17,1,78,13,3,8,4,2,0,0,13,3,30243912,222381.7,200000,385525.47,1852.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,KOOTENAY,CENTRAL KOOTENAY,NA,74,63,11,5,44,3,0,5,5,0,0,0,1,5,15472546,209088.5,198750,196625.79,1987.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,KOOTENAY,EAST KOOTENAY,NA,76,71,3,1,40,27,0,2,2,0,0,0,3,0,19371157,254883.6,193988.1,280495.67,1939.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,KOOTENAY,KOOTENAY-BOUNDARY,NA,79,72,9,0,40,22,1,5,3,1,1,0,2,0,18004924,227910.4,187500,242968.78,1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,MAINLAND/SOUTHWEST,FRASER VALLEY,NA,700,657,29,4,419,190,15,23,10,11,1,0,17,3,295643175,422347.4,335000,4551120.37,4641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,MAINLAND/SOUTHWEST,METRO VANCOUVER,NA,5133,4895,53,54,2102,2225,454,202,56,137,5,0,24,12,4856331999,946100.1,583000,90323140,9398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,MAINLAND/SOUTHWEST,SQUAMISH-LILLOOET,NA,208,149,5,0,66,70,8,54,4,39,11,0,1,4,134216425,645271.3,367500,2339424.21,5350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,MAINLAND/SOUTHWEST,SUNSHINE COAST,NA,116,110,16,0,72,17,5,3,1,2,0,0,2,1,44247337,381442.6,344000,661152.54,4770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,NECHAKO & NORTH COAST,BULKLEY-NECHAKO,NA,57,49,23,0,25,1,0,3,3,0,0,0,5,0,8541877,149857.5,125000,103279.82,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,NECHAKO & NORTH COAST,KITIMAT-STIKINE,NA,29,27,4,0,21,2,0,2,2,0,0,0,0,0,6670300,230010.3,202500,88636,2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,NECHAKO & NORTH COAST,NORTH COAST,NA,18,18,0,1,14,1,0,0,0,0,0,0,0,0,3706290,205905,202500,46987.9,2150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,NORTHEAST,NORTHERN ROCKIES RM-PEACE RIVER,NA,136,97,23,0,40,7,26,11,10,0,1,0,27,1,38435375,282613.1,200000,545827.84,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,THOMPSON/OKANAGAN,CENTRAL OKANAGAN,NA,339,317,5,2,175,106,29,15,4,11,0,0,7,0,155635055,459100.5,385100,2391926.4,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,THOMPSON/OKANAGAN,COLUMBIA-SHUSWAP,NA,84,78,26,0,41,10,0,6,3,2,1,0,0,0,22087633,262948,237500,302389.85,2750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,THOMPSON/OKANAGAN,NORTH OKANAGAN,NA,124,111,9,0,74,26,2,7,5,2,0,0,4,2,46951487,378641,320000,709040.6,4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,THOMPSON/OKANAGAN,OKANAGAN-SIMILKAMEEN,NA,128,120,12,1,67,32,8,2,2,0,0,0,6,0,46636673,364349,314000,696279.45,4230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,THOMPSON/OKANAGAN,THOMPSON-NICOLA,NA,198,181,15,3,121,22,20,12,7,5,0,0,4,1,54923310,277390.5,265000,764522.23,3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,UNKNOWN/RURAL,RURAL,NA,165,159,61,0,81,17,0,5,0,5,0,0,1,0,64301499,389706.1,305000,1008461.96,4100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,UNKNOWN/RURAL,UNKNOWN,NA,44,40,0,0,5,1,34,1,0,0,1,1,2,0,23416657,532196.7,374900,348175.79,5328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,VANCOUVER ISLAND/COAST,ALBERNI-CLAYOQUOT,NA,41,41,1,0,33,7,0,0,0,0,0,0,0,0,8448700,206065.9,188000,98797,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,VANCOUVER ISLAND/COAST,CAPITAL,NA,630,613,15,8,319,225,46,10,4,6,0,0,5,2,330660877,524858.5,437036.8,5317520.25,6700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,VANCOUVER ISLAND/COAST,COMOX VALLEY,NA,124,109,8,0,61,37,3,11,2,9,0,0,3,1,35911470,289608.6,268857.5,492534.4,3377.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,VANCOUVER ISLAND/COAST,COWICHAN VALLEY,NA,156,148,20,0,100,21,7,6,5,1,0,0,2,0,52277562,335112.6,305000,762550.92,4100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,VANCOUVER ISLAND/COAST,MOUNT WADDINGTON,NA,12,12,1,0,9,2,0,0,0,0,0,0,0,0,1924400,160366.7,177000,21334,1770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,VANCOUVER ISLAND/COAST,NANAIMO,NA,259,246,12,3,170,50,11,11,5,6,0,0,1,1,92493728,357118.6,320000,1354232.28,4350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,VANCOUVER ISLAND/COAST,POWELL RIVER,NA,36,34,0,0,31,3,0,1,1,0,0,0,0,1,7398541,205515,200750,87505.81,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,VANCOUVER ISLAND/COAST,STRATHCONA,NA,71,69,5,1,50,13,0,2,1,0,0,0,0,0,20289714,285770.6,260000,272778.14,3096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,CARIBOO,CARIBOO,NA,138,121,42,2,74,2,1,10,10,0,0,0,7,0,25938798,187962.3,148500,338008.98,1485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,CARIBOO,FRASER-FORT GEORGE,NA,194,183,36,2,125,16,3,7,6,1,0,0,1,3,47532150,245011.1,217000,637163.91,2310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,KOOTENAY,CENTRAL KOOTENAY,NA,131,122,32,1,81,8,0,6,6,0,0,0,3,0,34488335,263269.7,220000,476586.51,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,KOOTENAY,EAST KOOTENAY,NA,144,138,7,1,76,54,0,1,1,0,0,0,1,4,30673810,213012.6,182500,411333.06,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,KOOTENAY,KOOTENAY-BOUNDARY,NA,92,83,16,2,49,16,0,8,7,1,0,0,1,0,20807558,226169.1,190500,277044.41,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,MAINLAND/SOUTHWEST,FRASER VALLEY,NA,986,932,31,2,582,262,54,27,13,12,2,0,23,4,445830568,452160.8,359936.6,7509997.82,5050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,MAINLAND/SOUTHWEST,METRO VANCOUVER,NA,6453,6219,79,60,2679,2753,627,193,57,131,4,0,31,10,6670907208,1033768.4,610000,134854155.4,10060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,MAINLAND/SOUTHWEST,SQUAMISH-LILLOOET,NA,272,204,9,3,73,106,13,65,6,59,0,0,0,3,156185512,574211.4,396500,2801830.94,5930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,MAINLAND/SOUTHWEST,SUNSHINE COAST,NA,160,156,20,2,112,19,3,4,4,0,0,0,0,0,72017918,450112,368500,1150703.1,5370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,NECHAKO & NORTH COAST,BULKLEY-NECHAKO,NA,61,50,25,0,24,1,0,8,8,0,0,0,2,1,13306291,218135.9,150000,185723.92,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,NECHAKO & NORTH COAST,KITIMAT-STIKINE,NA,47,42,9,0,28,5,0,4,3,1,0,0,0,1,12467770,265271.7,260000,172101.39,3200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,NECHAKO & NORTH COAST,NORTH COAST,NA,31,28,3,1,24,0,0,3,2,0,0,0,0,0,8135680,262441.3,250000,110043.1,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,NORTHEAST,NORTHERN ROCKIES RM-PEACE RIVER,NA,159,127,29,0,61,9,25,11,10,0,1,0,14,7,38703707,243419.5,215000,533741.95,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,THOMPSON/OKANAGAN,CENTRAL OKANAGAN,NA,484,464,8,1,259,147,49,9,4,4,0,0,7,4,226002715,466947.8,392277.5,3636483.58,5800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,THOMPSON/OKANAGAN,COLUMBIA-SHUSWAP,NA,137,120,18,1,79,19,3,13,8,2,3,0,4,0,40971549,299062.4,250000,590308.81,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,THOMPSON/OKANAGAN,NORTH OKANAGAN,NA,191,164,8,3,111,39,3,9,4,4,1,0,18,0,73868828,386747.8,315000,1130419.83,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,THOMPSON/OKANAGAN,OKANAGAN-SIMILKAMEEN,NA,204,174,16,0,103,51,4,16,11,5,0,0,13,1,83200620,407846.2,290000,1352997.15,3800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,THOMPSON/OKANAGAN,THOMPSON-NICOLA,NA,279,249,19,0,170,58,2,26,8,17,1,1,1,2,94555582,338908.9,293500,1499063.07,3850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,UNKNOWN/RURAL,RURAL,NA,208,190,43,1,113,33,0,8,1,7,0,0,8,2,134585899,647047.6,369762.5,2703696.65,5395.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,UNKNOWN/RURAL,UNKNOWN,NA,35,30,0,0,2,0,28,3,1,0,2,0,0,2,20099322,574266.4,359900,348657.95,3338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,VANCOUVER ISLAND/COAST,ALBERNI-CLAYOQUOT,NA,48,43,0,0,36,6,1,5,4,1,0,0,0,0,11143958,232165.8,173500,151081.16,1735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,VANCOUVER ISLAND/COAST,CAPITAL,NA,821,800,15,19,428,300,36,16,7,5,4,0,2,3,443321052,539976.9,449900,7393002.22,6800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,VANCOUVER ISLAND/COAST,COMOX VALLEY,NA,160,147,13,1,94,26,13,13,5,8,0,0,0,0,48120229,300751.4,280525,672263.42,3610.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,VANCOUVER ISLAND/COAST,COWICHAN VALLEY,NA,179,168,21,0,116,25,6,6,6,0,0,0,4,1,69977583,390936.2,347500,1071085.66,4950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,VANCOUVER ISLAND/COAST,MOUNT WADDINGTON,NA,20,19,1,0,17,1,0,1,1,0,0,0,0,0,3094350,154717.5,159550,34721.5,1595.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,VANCOUVER ISLAND/COAST,NANAIMO,NA,369,354,11,3,241,72,27,14,6,6,2,0,0,1,126483850,342774.7,319000,1846735.6,4350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,VANCOUVER ISLAND/COAST,POWELL RIVER,NA,33,31,3,0,25,3,0,1,0,0,0,0,1,0,7375900,223512.1,215000,95570,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,VANCOUVER ISLAND/COAST,STRATHCONA,NA,115,110,10,0,81,18,1,4,4,0,0,0,0,1,30106723,261797.6,245000,398150.16,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,CARIBOO,CARIBOO,NA,158,147,55,1,89,2,0,3,3,0,0,1,5,2,30619151,193792.1,160000,394944.51,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,CARIBOO,FRASER-FORT GEORGE,NA,241,226,43,1,160,17,5,10,10,0,0,0,4,1,63458980,263315.3,235000,856518.37,2486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,KOOTENAY,CENTRAL KOOTENAY,NA,142,129,25,5,94,3,2,6,6,0,0,0,2,5,56073521,394883.9,222450,1052588.89,2398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,KOOTENAY,EAST KOOTENAY,NA,159,147,6,1,94,46,0,7,6,0,1,1,4,0,39340906,247427.1,220000,534561.85,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,KOOTENAY,KOOTENAY-BOUNDARY,NA,110,108,21,0,67,19,1,1,1,0,0,0,1,0,24940131,226728.5,195100,321558.31,1899.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,MAINLAND/SOUTHWEST,FRASER VALLEY,NA,1144,1071,35,4,701,278,51,31,15,4,12,0,32,10,501942300,438760.8,390000,7304668.03,5100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,MAINLAND/SOUTHWEST,METRO VANCOUVER,NA,7167,6939,84,53,2950,2974,799,175,64,95,15,0,40,13,6809128658,950066.8,619995,129792863.5,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,MAINLAND/SOUTHWEST,SQUAMISH-LILLOOET,NA,284,203,8,0,86,109,0,75,8,67,0,0,0,6,154043512,542406.7,416062.1,2618750.31,6321.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,MAINLAND/SOUTHWEST,SUNSHINE COAST,NA,184,180,27,1,129,23,0,0,0,0,0,0,4,0,82326209,447425.1,367000,1290018.61,5340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,NECHAKO & NORTH COAST,BULKLEY-NECHAKO,NA,92,82,36,0,41,0,4,4,4,0,0,0,6,0,17570747,190986.4,182500,212742.95,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,NECHAKO & NORTH COAST,KITIMAT-STIKINE,NA,62,55,11,0,37,6,1,3,3,0,0,0,2,2,13972419,225361.6,199300,177637,1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,NECHAKO & NORTH COAST,NORTH COAST,NA,37,35,4,0,30,0,0,2,2,0,0,0,0,0,7590400,205145.9,170000,96441,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,NORTHEAST,NORTHERN ROCKIES RM-PEACE RIVER,NA,139,93,23,2,56,0,11,5,5,0,0,0,38,3,37599080,270497,273000,526456.21,3250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
