"Geographic code","Geographic name, english","Geographic name, french","Population centre size group, english","Population centre size group, french","Type of population centre, english","Type of population centre, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Additional province code","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"0260","Embrun","Embrun","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,6918,F,6380,F,8.4,2542,2468,9.17,754.1,
"0262","Enderby","Enderby","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,2964,F,2932,F,1.1,1443,1391,4.26,695.3,
"0264","Englehart","Englehart","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1418,F,1449,T,-2.1,674,657,1.33,1070.1,
"0265","Erin","Erin","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,2647,F,2523,T,4.9,1020,1011,4.03,656.1,
"0266","Les Escoumins","Les Escoumins","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,1339,F,1302,T,2.8,640,610,1.62,827.2,
"0267","Espanola","Espanola","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,3693,F,3914,T,-5.6,1800,1688,3.06,1208.2,
"0268","Essex","Essex","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,7446,F,7127,F,4.5,3126,3068,5.55,1342.6,
"0269","Esterhazy","Esterhazy","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,2367,F,2354,T,0.6,1272,1056,2.35,1005.7,
"0270","Estevan","Estevan","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Saskatchewan","Saskatchewan",47,,11258,F,10845,T,3.8,5237,4592,9.16,1228.9,
"0272","Exeter","Exeter","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,4649,F,4210,T,10.4,2098,2009,4.39,1058.8,
"0274","Fairview","Fairview","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,2598,F,2767,T,-6.1,1200,1097,2.18,1191.1,
"0276","Farnham","Farnham","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,6731,F,6275,T,7.3,3245,3001,5.76,1168.2,
"0277","Fenelon Falls","Fenelon Falls","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,2464,F,2279,T,8.1,1447,1128,3.81,645.9,
"0278","Fergus","Fergus","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Ontario","Ontario",35,,20767,F,19335,T,7.4,8249,8145,17.66,1175.6,
"0279","Ferme-Neuve","Ferme-Neuve","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,1706,F,1785,T,-4.4,822,783,1.66,1030.0,
"0280","Fernie","Fernie","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,4850,F,4156,T,16.7,2701,2053,4.46,1087.5,
"0282","Flin Flon","Flin Flon","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Manitoba/Saskatchewan","Manitoba/Saskatchewan",46,47,4791,F,5103,T,-6.1,2484,2165,4.36,1099.7,
"460282","Flin Flon (Manitoba part)","Flin Flon (partie de Manitoba)",,,,,"Manitoba","Manitoba",46,47,4648,F,4990,T,-6.9,2428,2109,4.21,1103.2,
"470282","Flin Flon (Saskatchewan part)","Flin Flon (partie de la Saskatchewan)",,,,,"Saskatchewan","Saskatchewan",47,46,143,F,113,T,26.5,56,56,0.14,997.2,
"0283","Foam Lake","Foam Lake","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,1022,F,1017,T,0.5,537,475,1.32,777.1,
"0285","Forest","Forest","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,2277,F,2389,T,-4.7,1006,945,2.34,975.0,
"0286","Forestville","Forestville","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,2333,F,2496,T,-6.5,1211,1132,1.96,1193.1,
"0290","Fort Frances","Fort Frances","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,7420,F,7618,T,-2.6,3603,3316,7.29,1018.2,
"0291","Fort Macleod","Fort Macleod","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,2708,F,2874,T,-5.8,1316,1132,2.19,1239.1,
"0292","Fort McMurray","Fort McMurray","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Core","Noyau","Alberta","Alberta",48,,66573,F,60555,T,9.9,28567,23937,51.79,1285.4,
"0293","Fort Nelson","Fort Nelson","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,3366,F,3561,T,-5.5,1682,1424,4.68,719.1,
"0294","Fort Qu'Appelle","Fort Qu'Appelle","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,1920,F,1937,T,-0.9,906,856,2.14,898.9,
"0297","Fort St. James","Fort St. James","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,1510,F,1393,T,8.4,666,598,1.64,920.3,
"0298","Fort St. John","Fort St. John","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","British Columbia","Colombie-Britannique",59,,19897,F,18572,T,7.1,9423,7898,14.17,1404.3,
"0299","Fort-Coulonge","Fort-Coulonge","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,2359,F,2235,T,5.5,985,942,3.68,640.5,
"0300","Fortune","Fortune","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,1007,F,1050,T,-4.1,510,458,0.52,1926.9,
"0301","Fox Creek","Fox Creek","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,1720,F,1770,T,-2.8,909,678,1.27,1354.5,
"0302","Saint-Apollinaire","Saint-Apollinaire","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,3335,F,2646,T,26.0,1503,1423,4.43,753.5,
"0303","Frankford","Frankford","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,2825,F,2554,T,10.6,1207,1178,2.88,981.7,
"0305","Fredericton","Fredericton","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Core","Noyau","New Brunswick","Nouveau-Brunswick",13,,59405,F,56663,T,4.8,28776,26328,83.33,712.9,
"0306","Iqaluit","Iqaluit","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Nunavut","Nunavut",62,,7082,F,6418,T,10.3,3076,2499,9.55,741.7,
"0310","Gananoque","Gananoque","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,5159,F,5194,F,-0.7,2516,2404,7.03,733.6,
"0311","Gander","Gander","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,10220,F,10229,T,-0.1,4593,4347,12.14,842.0,
"0314","Georgetown","Georgetown","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Secondary core","Noyau secondaire","Ontario","Ontario",35,,42123,F,40185,T,4.8,14679,14444,24.03,1753.1,
"0315","Geraldton","Geraldton","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1828,F,1810,T,1.0,961,843,2.49,735.2,
"0316","Gibsons","Gibsons","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,9132,F,8767,T,4.2,4481,4182,13.73,665.2,
"0317","Gimli","Gimli","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Manitoba","Manitoba",46,,2246,F,2127,T,5.6,1435,1045,3.01,746.6,
"0318","Glace Bay","Glace Bay","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Nova Scotia","Nouvelle-Écosse",12,,17556,F,18475,T,-5.0,8331,7773,30.90,568.2,
"0321","Glencoe","Glencoe","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,2126,F,2065,T,3.0,982,939,2.66,797.8,
"0324","Goderich","Goderich","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,7536,F,7327,T,2.9,3625,3439,4.51,1669.8,
"0326","Golden","Golden","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,3240,F,3262,T,-0.7,1494,1363,4.76,680.1,
"0328","Granby","Granby","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Core","Noyau","Quebec","Québec",24,,59691,F,57351,T,4.1,28346,27480,48.24,1237.4,
"0329","Grand Bank","Grand Bank","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,2230,F,2360,T,-5.5,1128,1022,2.32,960.1,
"0330","Grand Centre","Grand Centre","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Alberta","Alberta",48,,7256,F,6868,T,5.6,3407,2730,18.11,400.7,
"0331","Grand Falls","Grand-Sault","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","New Brunswick","Nouveau-Brunswick",13,,4221,F,4201,T,0.5,2128,1996,5.30,795.9,
"0332","Grand Falls-Windsor","Grand Falls-Windsor","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,12046,F,12209,T,-1.3,5574,5274,11.42,1054.8,
"0333","Grand Forks","Grand Forks","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,3953,F,3892,T,1.6,1902,1824,7.39,534.6,
"0335","Grande Cache","Grande Cache","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,3286,F,3839,T,-14.4,1583,1169,3.74,878.1,
"0336","Grande Prairie","Grande Prairie","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Core","Noyau","Alberta","Alberta",48,,62320,F,55236,T,12.8,25948,23450,47.48,1312.6,
"0337","Grande-Rivière","Grande-Rivière","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,1517,F,1381,T,9.8,822,778,3.28,463.2,
"0339","Gravenhurst","Gravenhurst","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,5349,F,4959,T,7.9,2510,2312,5.08,1053.4,
"0342","Grimshaw","Grimshaw","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,2599,F,2394,T,8.6,1129,1007,4.13,628.9,
"0343","Guelph","Guelph","Large urban population centre (100,000 or more)","Grand centre de population urbain (100 000 et plus)","Core","Noyau","Ontario","Ontario",35,,132397,F,122457,T,8.1,56109,52290,74.10,1786.7,
"0346","Hagersville","Hagersville","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,2939,F,2579,F,14.0,1248,1226,3.17,926.3,
"0347","Haileybury","Haileybury","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,3266,F,3462,T,-5.7,1558,1418,2.87,1136.8,
"0348","Halifax","Halifax","Large urban population centre (100,000 or more)","Grand centre de population urbain (100 000 et plus)","Core","Noyau","Nova Scotia","Nouvelle-Écosse",12,,316701,F,304979,T,3.8,150284,139921,234.72,1349.3,
"0349","Hamilton","Hamilton","Large urban population centre (100,000 or more)","Grand centre de population urbain (100 000 et plus)","Core","Noyau","Ontario","Ontario",35,,693645,F,671008,T,3.4,286803,274649,351.67,1972.4,
"0350","Hampton","Hampton","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","New Brunswick","Nouveau-Brunswick",13,,3436,F,3440,T,-0.1,1336,1298,7.85,437.9,
"0351","Hanna","Hanna","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,2332,F,2439,T,-4.4,1179,1084,2.34,995.7,
"0352","Hanover","Hanover","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,7413,F,7240,T,2.4,3291,3225,6.92,1071.0,
"0353","Hantsport","Hantsport","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Nova Scotia","Nouvelle-Écosse",12,,1560,F,1565,T,-0.3,713,684,2.87,543.8,
"0354","Happy Valley-Goose Bay","Happy Valley-Goose Bay","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,6408,F,6518,T,-1.7,2592,2434,12.66,506.3,
"0359","Harriston","Harriston","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1797,F,1700,T,5.7,730,700,1.28,1408.4,
"0360","Harrow","Harrow","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,2710,F,2713,F,-0.1,1110,1078,2.86,948.8,
"0363","Havelock","Havelock","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1175,F,1131,T,3.9,531,511,1.13,1039.3,
"0364","Havre-Saint-Pierre","Havre-Saint-Pierre","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,2925,F,2851,T,2.6,1337,1199,2.09,1399.4,
"0365","Hawkesbury","Hawkesbury","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Ontario/Quebec","Ontario/Québec",35,24,11715,F,11894,T,-1.5,5983,5641,9.76,1200.6,
"240365","Hawkesbury (Quebec part)","Hawkesbury (partie du Québec)",,,,,"Quebec","Québec",24,35,1660,F,1529,T,8.6,837,768,2.41,687.5,
"350365","Hawkesbury (Ontario part)","Hawkesbury (partie de l'Ontario)",,,,,"Ontario","Ontario",35,24,10055,F,10365,T,-3.0,5146,4873,7.34,1369.3,
"0366","Hay River","Hay River","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Northwest Territories","Territoires du Nord-Ouest",61,,2728,F,2801,T,-2.6,1216,1065,3.31,825.4,
"0367","Hearst","Hearst","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,3835,F,3818,T,0.4,1912,1849,5.04,761.1,
"0368","Saint-Bruno","Saint-Bruno","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,1756,F,1681,T,4.5,755,731,1.14,1537.0,
"0371","High Level","High Level","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,2741,F,3018,T,-9.2,1091,934,2.67,1026.0,
"0372","High Prairie","High Prairie","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,2264,F,2281,T,-0.7,975,830,2.37,956.8,
"0373","High River","High River","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Alberta","Alberta",48,,13420,F,12498,T,7.4,5560,5293,10.17,1319.4,
"0374","Hinton","Hinton","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,9205,F,9036,T,1.9,4073,3677,12.97,709.6,
"0376","Hope","Hope","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,4067,F,3911,T,4.0,2018,1899,4.45,913.4,
"0379","Hudson","Hudson","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Secondary core","Noyau secondaire","Quebec","Québec",24,,21419,F,20648,T,3.7,7739,7573,31.95,670.4,
"0380","Hudson Bay","Hudson Bay","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,1306,F,1311,T,-0.4,716,652,1.27,1031.2,
"0381","Humboldt","Humboldt","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,4872,F,4795,T,1.6,2181,2074,2.73,1783.4,
"0382","Huntingdon","Huntingdon","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,2525,F,2538,T,-0.5,1196,1130,2.38,1059.9,
"0383","Huntsville","Huntsville","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,6482,F,6405,T,1.2,3083,2847,8.75,740.8,
"0385","Indian Head","Indian Head","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,1802,F,1717,T,5.0,844,761,1.77,1019.3,
"0386","Ingersoll","Ingersoll","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Ontario","Ontario",35,,12587,F,11977,T,5.1,5121,5021,9.55,1317.5,
"0387","Innisfail","Innisfail","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,6927,F,7208,T,-3.9,3126,2817,4.37,1585.3,
"0388","Inuvik","Inuvik","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Northwest Territories","Territoires du Nord-Ouest",61,,3140,F,3359,T,-6.5,1424,1151,1.62,1937.8,
"0389","Invermere","Invermere","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,2882,F,2537,T,13.6,1705,1173,3.21,898.5,
"0390","Inverness","Inverness","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Nova Scotia","Nouvelle-Écosse",12,,1248,F,1221,T,2.2,620,532,2.73,456.8,
"0391","Iroquois","Iroquois","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1027,F,1004,T,2.3,531,512,0.74,1387.7,
"0392","Iroquois Falls","Iroquois Falls","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,2955,F,3071,T,-3.8,1451,1362,1.56,1891.7,
"0394","Wawa","Wawa","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,2610,F,2634,F,-0.9,1274,1147,1.76,1482.6,
"0396","Joliette","Joliette","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Core","Noyau","Quebec","Québec",24,,45508,F,42850,T,6.2,21609,20790,36.99,1230.2,
"0397","Kamloops","Kamloops","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Core","Noyau","British Columbia","Colombie-Britannique",59,,78026,F,72755,T,7.2,34577,32649,56.27,1386.6,
"0398","Kamsack","Kamsack","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,1775,F,1690,T,5.0,912,766,1.58,1120.4,
"0399","Kanata","Kanata","Large urban population centre (100,000 or more)","Grand centre de population urbain (100 000 et plus)","Fringe","Banlieue","Ontario","Ontario",35,,117304,F,104559,T,12.2,41653,40903,59.70,1964.9,
"0400","Kapuskasing","Kapuskasing","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,7378,F,7250,T,1.8,3683,3408,8.55,862.7,
"0403","Kelowna","Kelowna","Large urban population centre (100,000 or more)","Grand centre de population urbain (100 000 et plus)","Core","Noyau","British Columbia","Colombie-Britannique",59,,151957,F,140131,T,8.4,67767,63946,136.44,1113.8,
"0405","Kemptville","Kemptville","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,3911,F,3620,T,8.0,1741,1692,3.73,1048.0,
"0406","Kenora","Kenora","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Ontario","Ontario",35,,10687,F,10970,T,-2.6,5139,4746,13.42,796.3,
"0407","Kensington","Kensington","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Prince Edward Island","Île-du-Prince-Édouard",11,,1562,F,1454,T,7.4,744,712,2.24,698.4,
"0408","Kentville","Kentville","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Nova Scotia","Nouvelle-Écosse",12,,12088,F,12124,T,-0.3,5850,5550,17.84,677.7,
"0410","Killarney","Killarney","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Manitoba","Manitoba",46,,2150,F,1974,T,8.9,1032,955,2.94,730.9,
